,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_ELO,Visitor_ELO,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPTS,Home_AvgPTS,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPTS,Visitor_AvgPTS,Visitor_GamesPlayed,Visitor_DaysPast
754,2014-02-09 18:00:00,New Orleans Pelicans,81,Brooklyn Nets,93,Sun,1,12,1,1515.4417033272862,1491.2619946995094,22,26,14,11,-1,-128,-2.6666666666666665,4685,97.60416666666667,48,0,22,27,9,15,2,-67,-1.3673469387755102,4896,99.91836734693878,49,0
755,2014-02-09 18:00:00,Memphis Grizzlies,83,Cleveland Cavaliers,91,Sun,1,8,1,1352.8763075789875,1594.833691504131,17,33,11,13,1,-305,-6.1,4831,96.62,50,0,27,22,14,8,1,11,0.22448979591836735,4663,95.16326530612245,49,0
756,2014-02-09 21:30:00,Philadelphia 76ers,78,Los Angeles Clippers,123,Sun,1,45,1,1642.0813988088066,1296.2226170308934,35,18,21,4,1,300,5.660377358490566,5640,106.41509433962264,53,0,15,36,7,18,-5,-453,-8.882352941176471,5157,101.11764705882354,51,0
757,2014-02-09 15:30:00,Chicago Bulls,92,Los Angeles Lakers,86,Sun,1,-6,0,1391.6368870152587,1486.270716319415,18,32,8,13,2,-247,-4.94,5057,101.14,50,0,24,25,11,15,-1,-41,-0.8367346938775511,4514,92.12244897959184,49,0
758,2014-02-09 13:00:00,New York Knicks,100,Oklahoma City Thunder,112,Sun,1,12,1,1711.8091442610264,1504.623771775099,40,12,22,3,-1,388,7.461538461538462,5457,104.9423076923077,52,0,20,30,8,13,1,-77,-1.54,4859,97.18,50,0
759,2014-02-09 18:00:00,Indiana Pacers,92,Orlando Magic,93,Sun,1,1,1,1346.1115653253346,1668.0313333147128,15,37,12,14,2,-285,-5.480769230769231,5009,96.32692307692308,52,0,39,10,15,8,4,396,8.081632653061224,4840,98.77551020408163,49,0
760,2014-02-09 18:00:00,Sacramento Kings,84,Washington Wizards,93,Sun,1,9,1,1535.985078845849,1461.33891604664,24,25,12,13,-2,-14,-0.2857142857142857,4871,99.40816326530613,49,0,17,33,6,17,-1,-107,-2.14,5077,101.54,50,0
761,2014-02-10 19:30:00,San Antonio Spurs,100,Detroit Pistons,109,Mon,2,9,1,1434.7669797604651,1653.5323882252658,21,29,11,15,2,-109,-2.18,5032,100.64,50,0,37,14,19,6,1,333,6.529411764705882,5297,103.86274509803921,51,0
762,2014-02-10 22:30:00,Philadelphia 76ers,80,Golden State Warriors,123,Mon,2,43,1,1607.9503211630258,1290.6682521490027,30,21,15,9,-1,202,3.9607843137254903,5256,103.05882352941177,51,0,15,37,7,19,-6,-498,-9.576923076923077,5235,100.67307692307692,52,0
763,2014-02-10 19:00:00,Denver Nuggets,80,Indiana Pacers,119,Mon,2,39,1,1658.6188839639603,1492.7952758887088,39,11,24,2,-1,395,7.9,4932,98.64,50,0,24,25,10,14,-2,-8,-0.16326530612244897,5085,103.77551020408163,49,0
764,2014-02-10 20:00:00,Boston Celtics,102,Milwaukee Bucks,86,Mon,2,-16,0,1290.9602460612946,1411.082471524887,9,41,5,19,-2,-475,-9.5,4615,92.3,50,0,18,34,7,18,-1,-194,-3.730769230769231,4940,95.0,52,0
765,2014-02-10 20:00:00,Houston Rockets,107,Minnesota Timberwolves,89,Mon,2,-18,0,1544.5154446309355,1629.2731821842797,24,27,14,10,-3,189,3.7058823529411766,5385,105.58823529411765,51,0,34,17,13,10,5,198,3.8823529411764706,5371,105.31372549019608,51,0
766,2014-02-10 19:00:00,New Orleans Pelicans,101,Toronto Raptors,108,Mon,2,7,1,1552.9207455562566,1480.639768494684,26,24,12,10,-2,117,2.34,4970,99.4,50,0,22,28,9,16,-1,-79,-1.58,4977,99.54,50,0
767,2014-02-11 19:00:00,Dallas Mavericks,89,Charlotte Bobcats,114,Tue,3,25,1,1437.4384428671083,1585.1446484659323,22,29,11,14,-1,-134,-2.627450980392157,4817,94.45098039215686,51,0,31,21,13,13,5,132,2.5384615384615383,5439,104.59615384615384,52,0
768,2014-02-11 20:00:00,Atlanta Hawks,85,Chicago Bulls,100,Tue,3,15,1,1491.5482580050802,1522.2126733832274,25,25,13,10,1,-35,-0.7,4606,92.12,50,0,25,24,9,15,-3,63,1.2857142857142858,5004,102.12244897959184,49,0
769,2014-02-11 19:00:00,Sacramento Kings,99,Cleveland Cavaliers,109,Tue,3,10,1,1370.9135110471473,1454.0972447923743,18,33,12,13,2,-297,-5.823529411764706,4922,96.50980392156863,51,0,17,34,6,18,-2,-116,-2.2745098039215685,5161,101.19607843137256,51,0
770,2014-02-11 22:30:00,Utah Jazz,96,Los Angeles Lakers,79,Tue,3,-17,0,1386.3593453295935,1447.2595585397448,18,33,8,14,-1,-253,-4.96078431372549,5143,100.84313725490196,51,0,17,33,6,19,1,-330,-6.6,4704,94.08,50,0
771,2014-02-11 20:00:00,Washington Wizards,89,Memphis Grizzlies,92,Tue,3,3,1,1576.7964880359712,1543.2267501001147,27,23,13,14,-1,3,0.06,4746,94.92,50,0,25,25,12,12,1,-5,-0.1,4964,99.28,50,0
772,2014-02-11 21:00:00,Miami Heat,103,Phoenix Suns,97,Tue,3,-6,0,1579.4620994594309,1633.987394237564,30,20,17,8,1,163,3.26,5254,105.08,50,0,35,14,15,10,-1,254,5.183673469387755,5097,104.0204081632653,49,0
